parent_name,utility_name,respondent_id,year,percent_AMI,ownership,housing_units,income
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,60-80%,owner,591.6137465177816,35450355.068215504
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,60-80%,renter,492.4248997829459,27806309.460426036
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,80-100%,owner,986.407235493113,71113935.33813286
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,80-100%,renter,482.7632205286637,32968279.470858425
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,0-30%,owner,318.3404954646199,4948776.1186679015
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,0-30%,renter,793.8482906620552,11659826.672055982
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,100%+,owner,7144.919898857708,1154012746.2646804
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,100%+,renter,1739.9176159421131,202154052.2503101
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,30-60%,owner,639.3495086289224,29069062.523187127
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,30-60%,renter,805.0053635766604,33312978.70957057
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,60-80%,owner,585.4524131321555,36299354.27602089
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,60-80%,renter,487.2965639509875,28472241.71014444
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,80-100%,owner,976.1343439863834,72817040.27600498
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,80-100%,renter,477.735505798397,33757835.54440425
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,0-30%,owner,317.06421627318093,4535584.889123032
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,0-30%,renter,790.6656228300766,10686305.542107655
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,100%+,owner,7116.274744624027,1057660045.2926457
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,100%+,renter,1732.9420012161138,185275478.75984728
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,30-60%,owner,636.7862517214754,26641981.28175374
